1_003/1	
θ/2θ, °	Intensity, cps
29.6800003051758	272.654357910156
29.7000007629395	339.322570800781
29.7199993133545	374.684600830078
29.7399997711182	156.383117675781
29.7600002288818	297.149780273438
29.7800006866455	342.212127685547
29.7999992370605	322.110504150391
29.8199996948242	348.439086914063
29.8400001525879	191.005233764648
29.8600006103516	299.353271484375
29.8799991607666	195.361267089844
29.8999996185303	327.450439453125
29.9200000762939	202.202255249023
29.9400005340576	285.837768554688
29.9599990844727	316.782531738281
29.9799995422363	136.529312133789
30	213.649215698242
30.0200004577637	299.288391113281
30.0400009155273	318.300445556641
30.0599994659424	273.057037353516
30.0799999237061	184.048568725586
30.1000003814697	232.929916381836
30.1200008392334	130.855056762695
30.1399993896484	305.175598144531
30.1599998474121	406.278015136719
30.1800003051758	224.131896972656
30.2000007629395	252.145767211914
30.2199993133545	268.231597900391
30.2399997711182	220.82926940918
30.2600002288818	169.661224365234
30.2800006866455	234.389495849609
30.2999992370605	278.274688720703
30.3199996948242	248.304168701172
30.3400001525879	222.456481933594
30.3600006103516	316.523071289063
30.3799991607666	120.790252685547
30.3999996185303	300.658203125
30.4200000762939	236.450393676758
30.4400005340576	203.729751586914
30.4599990844727	189.358596801758
30.4799995422363	169.994384765625
30.5	94.4191513061523
30.5200004577637	248.77375793457
30.5400009155273	338.453857421875
30.5599994659424	235.347671508789
30.5799999237061	304.965606689453
30.6000003814697	217.145385742188
30.6200008392334	252.768753051758
30.6399993896484	323.596343994141
30.6599998474121	319.446990966797
30.6800003051758	228.758575439453
30.7000007629395	258.991729736328
30.7199993133545	255.58464050293
30.7399997711182	171.221099853516
30.7600002288818	248.021728515625
30.7800006866455	145.495147705078
30.7999992370605	374.461456298828
30.8199996948242	153.247665405273
30.8400001525879	261.934692382813
30.8600006103516	331.821655273438
30.8799991607666	180.545532226563
30.8999996185303	326.279968261719
30.9200000762939	257.429504394531
30.9400005340576	262.88037109375
30.9599990844727	161.571426391602
30.9799995422363	155.221725463867
31	169.632949829102
31.0200004577637	136.978530883789
31.0400009155273	117.750869750977
31.0599994659424	188.823104858398
31.0799999237061	174.554321289063
31.1000003814697	217.710189819336
31.1200008392334	245.651062011719
31.1399993896484	269.379333496094
31.1599998474121	312.846130371094
31.1800003051758	243.889572143555
31.2000007629395	339.423522949219
31.2199993133545	310.31396484375
31.2399997711182	267.622009277344
31.2600002288818	314.443298339844
31.2800006866455	358.514007568359
31.2999992370605	262.415222167969
31.3199996948242	237.43537902832
31.3400001525879	230.357055664063
31.3600006103516	284.445556640625
31.3799991607666	238.318756103516
31.3999996185303	187.015808105469
31.4200000762939	332.3583984375
31.4400005340576	398.827362060547
31.4599990844727	212.382965087891
31.4799995422363	410.300170898438
31.5	365.765258789063
31.5200004577637	594.323120117188
31.5400009155273	564.791381835938
31.5599994659424	818.546142578125
31.5799999237061	815.533142089844
31.6000003814697	918.299438476563
31.6200008392334	1436.92944335938
31.6399993896484	2527.203125
31.6599998474121	4120.0771484375
31.6800003051758	7258.29443359375
31.7000007629395	10479.7880859375
31.7199993133545	10375.8251953125
31.7399997711182	7778.12646484375
31.7600002288818	5436.166015625
31.7800006866455	6091.59033203125
31.7999992370605	5588.83642578125
31.8199996948242	3716.69116210938
31.8400001525879	1857.14501953125
31.8600006103516	1316.58093261719
31.8799991607666	1079.53112792969
31.8999996185303	755.926635742188
31.9200000762939	453.867401123047
31.9400005340576	508.656677246094
31.9599990844727	348.736724853516
31.9799995422363	403.880828857422
32	281.222869873047
32.0200004577637	237.564971923828
32.0400009155273	191.609924316406
32.060001373291	429.523223876953
32.0800018310547	275.801330566406
32.0999984741211	342.499786376953
32.1199989318848	262.449157714844
32.1399993896484	257.565246582031
32.1599998474121	182.254547119141
32.1800003051758	326.449859619141
32.2000007629395	301.657043457031
32.2200012207031	222.426330566406
32.2400016784668	253.111999511719
32.2599983215332	183.463165283203
32.2799987792969	125.521141052246
32.2999992370605	229.635513305664
32.3199996948242	192.840698242188
32.3400001525879	225.564544677734
32.3600006103516	293.654083251953
32.3800010681152	156.938293457031
32.4000015258789	191.994537353516
32.4199981689453	298.907287597656
32.439998626709	306.988494873047
32.4599990844727	240.885314941406
32.4799995422363	190.734313964844
32.5	352.724853515625
32.5200004577637	305.096710205078
32.5400009155273	212.368850708008
32.560001373291	210.38313293457
32.5800018310547	239.643707275391
32.5999984741211	328.820556640625
32.6199989318848	300.736633300781
32.6399993896484	239.152709960938
32.6599998474121	309.242401123047
32.6800003051758	269.147399902344
32.7000007629395	236.388854980469
32.7200012207031	341.726928710938
32.7400016784668	287.519744873047
32.7599983215332	194.502563476563
32.7799987792969	156.826141357422
32.7999992370605	211.516159057617
32.8199996948242	227.973220825195
32.8400001525879	178.471801757813
32.8600006103516	144.645568847656
32.8800010681152	306.6650390625
32.9000015258789	204.279190063477
32.9199981689453	267.409027099609
32.939998626709	193.764755249023
32.9599990844727	319.933471679688
32.9799995422363	233.803512573242
33	131.228912353516
33.0200004577637	140.517608642578
33.0400009155273	248.464859008789
33.060001373291	197.11116027832
33.0800018310547	314.718353271484
33.0999984741211	246.964752197266
33.1199989318848	164.87190246582
33.1399993896484	246.991226196289
33.1599998474121	194.97282409668
33.1800003051758	134.528305053711
33.2000007629395	117.134651184082
33.2200012207031	171.036102294922
33.2400016784668	273.933380126953
33.2599983215332	240.117385864258
33.2799987792969	345.243896484375
33.2999992370605	195.458770751953
33.3199996948242	225.571975708008
33.3400001525879	211.386535644531
33.3600006103516	315.501403808594
33.3800010681152	112.266830444336
33.4000015258789	262.923370361328
33.4199981689453	271.325622558594
33.439998626709	199.786483764648
33.4599990844727	197.889465332031
33.4799995422363	136.525283813477
33.5	118.717864990234
33.5200004577637	245.472183227539
33.5400009155273	201.407608032227
