1_001{1}	
2θ, °	Intensity, counts
21.3400001525879	42.2429962158203
21.3600006103516	49.1904754638672
21.3799991607666	37.7987747192383
21.3999996185303	16.8326759338379
21.4200000762939	27.9452857971191
21.4400005340576	35.8560791015625
21.4599990844727	24.3414916992188
21.4799995422363	44.9998626708984
21.5	24.1540794372559
21.5200004577637	50.5961456298828
21.5400009155273	39.885612487793
21.5599994659424	40.2746887207031
21.5799999237061	21.4782428741455
21.6000003814697	33.9679527282715
21.6200008392334	34.8351173400879
21.6399993896484	43.1548271179199
21.6599998474121	35.2138938903809
21.6800003051758	41.7084808349609
21.7000007629395	25.1871490478516
21.7199993133545	19.9795627593994
21.7399997711182	48.6945877075195
21.7600002288818	41.5457649230957
21.7800006866455	17.4834213256836
21.7999992370605	25.5384864807129
21.8199996948242	42.1572608947754
21.8400001525879	29.6536388397217
21.8600006103516	37.0527229309082
21.8799991607666	43.8930358886719
21.8999996185303	38.7787857055664
21.9200000762939	43.1524391174316
21.9400005340576	31.6672534942627
21.9599990844727	29.4950923919678
21.9799995422363	39.7896194458008
22	44.9298210144043
22.0200004577637	41.6081085205078
22.0400009155273	34.5575141906738
22.0599994659424	38.2013320922852
22.0799999237061	47.2502136230469
22.1000003814697	44.4575958251953
22.1200008392334	51.585994720459
22.1399993896484	22.6561164855957
22.1599998474121	58.5328788757324
22.1800003051758	36.6739768981934
22.2000007629395	52.0585556030273
22.2199993133545	52.474048614502
22.2399997711182	56.3879241943359
22.2600002288818	52.3682098388672
22.2800006866455	36.1877822875977
22.2999992370605	53.9279861450195
22.3199996948242	29.975658416748
22.3400001525879	47.9186248779297
22.3600006103516	45.1383018493652
22.3799991607666	38.0782814025879
22.3999996185303	64.2614898681641
22.4200000762939	41.439094543457
22.4400005340576	39.7254257202148
22.4599990844727	57.0361099243164
22.4799995422363	38.9742050170898
22.5	44.123233795166
22.5200004577637	32.440731048584
22.5400009155273	64.0079345703125
22.5599994659424	48.5080528259277
22.5799999237061	38.8874053955078
22.6000003814697	47.1876792907715
22.6200008392334	67.102294921875
22.6399993896484	69.5542144775391
22.6599998474121	33.6637115478516
22.6800003051758	44.2480964660645
22.7000007629395	44.6361618041992
22.7199993133545	72.4690551757813
22.7399997711182	64.5970611572266
22.7600002288818	88.3343658447266
22.7800006866455	120.974479675293
22.7999992370605	132.868469238281
22.8199996948242	164.702056884766
22.8400001525879	199.482894897461
22.8600006103516	214.07942199707
22.8799991607666	275.279266357422
22.8999996185303	350.842895507813
22.9200000762939	616.88720703125
22.9400005340576	1477.99780273438
22.9599990844727	3386.59716796875
22.9799995422363	2111.4951171875
23	1955.91833496094
23.0200004577637	4182.12158203125
