1_003	
2θ, °	Intensity, counts
20	-4.42137050628662
20.0200004577637	0.623978734016418
20.0400009155273	-5.88179969787598
20.0599994659424	0.106245785951614
20.0799999237061	-11.9684076309204
20.1000003814697	9.25381278991699
20.1200008392334	-2.30631399154663
20.1399993896484	-5.61321592330933
20.1599998474121	0.400206238031387
20.1800003051758	-10.7136945724487
20.2000007629395	-2.57750129699707
20.2199993133545	-0.101698406040668
20.2399997711182	15.568751335144
20.2600002288818	-5.70034742355347
20.2800006866455	10.0476408004761
20.2999992370605	5.3123140335083
20.3199996948242	-8.34536457061768
20.3400001525879	-16.4438819885254
20.3600006103516	-3.17283630371094
20.3799991607666	-1.39029240608215
20.3999996185303	-4.08135080337524
20.4200000762939	-3.21612811088562
20.4400005340576	0.572841286659241
20.4599990844727	8.27226638793945
20.4799995422363	12.0805177688599
20.5	6.55044841766357
20.5200004577637	2.17660164833069
20.5400009155273	8.87443923950195
20.5599994659424	27.5014839172363
20.5799999237061	-6.15961360931396
20.6000003814697	7.39264297485352
20.6200008392334	-1.25894045829773
20.6399993896484	-6.96781396865845
20.6599998474121	-7.86045551300049
20.6800003051758	3.5633487701416
20.7000007629395	35.0904846191406
20.7199993133545	2.228675365448
20.7399997711182	6.46557474136353
20.7600002288818	19.0566825866699
20.7800006866455	3.53562617301941
20.7999992370605	-5.39545917510986
20.8199996948242	-8.05988121032715
20.8400001525879	1.64799284934998
20.8600006103516	6.38693332672119
20.8799991607666	17.9512424468994
20.8999996185303	9.37867641448975
20.9200000762939	-2.25585508346558
20.9400005340576	-8.06199359893799
20.9599990844727	6.81201267242432
20.9799995422363	12.5425672531128
21	0.447466820478439
21.0200004577637	13.3416032791138
21.0400009155273	1.07140779495239
21.0599994659424	29.4179191589355
21.0799999237061	1.54085922241211
21.1000003814697	22.4803524017334
21.1200008392334	-2.31670427322388
21.1399993896484	-2.85170531272888
21.1599998474121	-8.80348205566406
21.1800003051758	8.2506046295166
21.2000007629395	25.0308036804199
21.2199993133545	-18.5401287078857
21.2399997711182	11.7590627670288
21.2600002288818	5.66873979568481
21.2800006866455	1.14113867282867
21.2999992370605	-15.3099298477173
21.3199996948242	23.8151950836182
21.3400001525879	0.824193835258484
